INJ_OBD;INJ_HW;IGN;IAC;RPM;MAP;ECT;TPS;SPD;O2SENS;AVG SPD;LPK_OBD;LPH_OBD;LPH_INJ;TOTAL_OBD;TOTAL_INJ;AVG_OBD;AVG_INJ;CURR_OBD;CURR_INJ;CURR_RUN;RUN_TOTAL;INJ_CLOSED;CLOSED_DUR;SAVED_FUEL
2.13;2.34;23.11;37.65;1125.00;2.00;80.00;0.00;60.00;2.50;79.18;2.87;1.72;1.90;23.22;23.62;29.74;30.89;0.48;0.50;1.63;175.46;3740056;3005750.50;12.02
2.13;2.34;23.11;37.65;1125.00;2.00;80.00;0.00;60.00;2.50;79.18;2.87;1.72;1.91;23.22;23.62;29.74;30.89;0.48;0.50;1.63;175.46;3740056;3005750.50;12.02
2.13;2.36;23.11;37.65;1125.00;2.00;80.00;0.00;60.00;2.50;79.18;2.87;1.72;1.91;23.22;23.62;29.74;30.89;0.48;0.50;1.63;175.46;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.89;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.89;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;20.29;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.18;2.97;1.78;1.89;23.22;23.62;29.38;30.50;0.48;0.50;1.65;175.48;3740056;3005750.50;12.02
2.25;2.38;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.88;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.38;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.88;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.38;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.88;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.39;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.89;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.40;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.90;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.40;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.90;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.40;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.90;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.40;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.90;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.40;18.41;37.25;1100.00;2.00;80.00;0.00;60.00;2.50;79.17;2.97;1.78;1.90;23.22;23.62;29.03;30.13;0.48;0.50;1.67;175.50;3740056;3005750.50;12.02
2.25;2.40;15.59;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.95;23.22;23.62;28.68;29.79;0.49;0.50;1.69;175.52;3740056;3005750.50;12.02
2.25;2.40;15.59;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.95;23.22;23.62;28.68;29.79;0.49;0.50;1.69;175.52;3740056;3005750.50;12.02
2.25;2.40;15.59;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.95;23.22;23.62;28.68;29.79;0.49;0.50;1.69;175.52;3740056;3005750.50;12.02
2.25;2.36;15.59;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.91;23.22;23.62;28.68;29.79;0.49;0.50;1.69;175.52;3740056;3005750.50;12.02
2.25;2.36;15.59;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.91;23.22;23.62;28.68;29.79;0.49;0.50;1.69;175.52;3740056;3005750.50;12.02
2.25;2.36;15.59;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.91;23.22;23.62;28.68;29.79;0.49;0.50;1.69;175.52;3740056;3005750.50;12.02
2.25;2.40;16.06;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.50;1.72;175.55;3740056;3005750.50;12.02
2.25;2.40;16.06;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.50;1.72;175.55;3740056;3005750.50;12.02
2.25;2.40;16.06;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.50;1.72;175.55;3740056;3005750.50;12.02
2.25;2.40;16.06;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.51;1.72;175.55;3740056;3005750.50;12.02
2.25;2.40;16.06;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.51;1.72;175.55;3740056;3005750.50;12.02
2.25;2.40;16.06;37.25;1125.00;2.00;82.11;0.00;61.00;2.50;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.51;1.72;175.55;3740056;3005750.50;12.02
2.25;2.37;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.92;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.37;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.92;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.37;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.92;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.35;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.91;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.36;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.91;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.36;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.91;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.35;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.90;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.35;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.90;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.35;19.35;37.25;1125.00;2.00;82.11;0.00;62.00;2.50;79.16;2.94;1.82;1.90;23.22;23.62;28.00;29.07;0.49;0.51;1.74;175.57;3740056;3005750.50;12.02
2.25;2.39;16.06;37.25;1150.00;2.00;82.11;0.00;62.00;2.50;79.16;3.00;1.86;1.98;23.22;23.62;27.68;28.75;0.49;0.51;1.76;175.59;3740056;3005750.50;12.02
2.25;2.39;16.06;37.25;1150.00;2.00;82.11;0.00;62.00;2.50;79.16;3.00;1.86;1.98;23.22;23.62;27.68;28.75;0.49;0.51;1.76;175.59;3740056;3005750.50;12.02
2.25;2.39;16.06;37.25;1150.00;2.00;82.11;0.00;62.00;2.50;79.16;3.00;1.86;1.98;23.22;23.62;27.68;28.75;0.49;0.51;1.76;175.59;3740056;3005750.50;12.02
2.25;2.38;16.06;37.25;1150.00;2.00;82.11;0.00;62.00;2.50;79.16;3.00;1.86;1.97;23.22;23.62;27.68;28.75;0.49;0.51;1.76;175.59;3740056;3005750.50;12.02
2.25;2.38;16.06;37.25;1150.00;2.00;82.11;0.00;62.00;2.50;79.16;3.00;1.86;1.97;23.22;23.62;27.68;28.75;0.49;0.51;1.76;175.59;3740056;3005750.50;12.02
2.25;2.38;16.06;37.25;1150.00;2.00;82.11;0.00;62.00;2.50;79.16;3.00;1.86;1.97;23.22;23.62;27.68;28.75;0.49;0.51;1.76;175.59;3740056;3005750.50;12.02
2.25;2.39;18.41;37.25;1150.00;2.00;82.11;0.00;63.00;2.50;79.16;2.96;1.86;1.98;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.50;12.02
2.25;2.39;18.41;37.25;1150.00;2.00;82.11;0.00;63.00;2.50;79.16;2.96;1.86;1.98;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.50;12.02
